snapshot_id,agent_id,version,tool_name,parameter_name,required,parameter_type,description
claude-code/1.0.1,claude-code,1.0.1,Edit,expected_replacements,false,number,The expected number of replacements to perform. Defaults to 1 if not specified.
claude-code/1.0.1,claude-code,1.0.1,Glob,pattern,true,string,The glob pattern to match files against
claude-code/1.0.1,claude-code,1.0.1,Glob,path,false,string,"The directory to search in. If not specified, the current working directory will be used. IMPORTANT: Omit this field to use the default directory. DO NOT enter ""undefined"" or ""null"" - simply omit it for the default behavior. Must be a valid directory path if provided."
claude-code/1.0.1,claude-code,1.0.1,Grep,pattern,true,string,The regular expression pattern to search for in file contents
claude-code/1.0.1,claude-code,1.0.1,Grep,path,false,string,The directory to search in. Defaults to the current working directory.
claude-code/1.0.1,claude-code,1.0.1,Grep,include,false,string,"File pattern to include in the search (e.g. ""*.js"", ""*.{ts,tsx}"")"
claude-code/1.0.1,claude-code,1.0.1,LS,path,true,string,"The absolute path to the directory to list (must be absolute, not relative)"
claude-code/1.0.1,claude-code,1.0.1,LS,ignore,false,array,List of glob patterns to ignore
claude-code/1.0.1,claude-code,1.0.1,MultiEdit,file_path,true,string,The absolute path to the file to modify
claude-code/1.0.1,claude-code,1.0.1,MultiEdit,edits,true,array,Array of edit operations to perform sequentially on the file
claude-code/1.0.1,claude-code,1.0.1,NotebookEdit,notebook_path,true,string,"The absolute path to the Jupyter notebook file to edit (must be absolute, not relative)"
claude-code/1.0.1,claude-code,1.0.1,NotebookEdit,cell_number,true,number,The index of the cell to edit (0-based)
claude-code/1.0.1,claude-code,1.0.1,NotebookEdit,new_source,true,string,The new source for the cell
claude-code/1.0.1,claude-code,1.0.1,NotebookEdit,cell_type,false,string,"The type of the cell (code or markdown). If not specified, it defaults to the current cell type. If using edit_mode=insert, this is required."
claude-code/1.0.1,claude-code,1.0.1,NotebookEdit,edit_mode,false,string,"The type of edit to make (replace, insert, delete). Defaults to replace."
claude-code/1.0.1,claude-code,1.0.1,NotebookRead,notebook_path,true,string,"The absolute path to the Jupyter notebook file to read (must be absolute, not relative)"
claude-code/1.0.1,claude-code,1.0.1,Read,file_path,true,string,The absolute path to the file to read
claude-code/1.0.1,claude-code,1.0.1,Read,offset,false,number,The line number to start reading from. Only provide if the file is too large to read at once
claude-code/1.0.1,claude-code,1.0.1,Read,limit,false,number,The number of lines to read. Only provide if the file is too large to read at once.
claude-code/1.0.1,claude-code,1.0.1,Task,description,true,string,A short (3-5 word) description of the task
claude-code/1.0.1,claude-code,1.0.1,Task,prompt,true,string,The task for the agent to perform
claude-code/1.0.1,claude-code,1.0.1,TodoWrite,todos,true,array,The updated todo list
claude-code/1.0.1,claude-code,1.0.1,WebFetch,url,true,string,The URL to fetch content from
claude-code/1.0.1,claude-code,1.0.1,WebFetch,prompt,true,string,The prompt to run on the fetched content
claude-code/1.0.1,claude-code,1.0.1,WebSearch,query,true,string,The search query to use
claude-code/1.0.1,claude-code,1.0.1,WebSearch,allowed_domains,false,array,Only include search results from these domains
claude-code/1.0.1,claude-code,1.0.1,WebSearch,blocked_domains,false,array,Never include search results from these domains
claude-code/1.0.1,claude-code,1.0.1,Write,file_path,true,string,"The absolute path to the file to write (must be absolute, not relative)"
claude-code/1.0.1,claude-code,1.0.1,Write,content,true,string,The content to write to the file
claude-code/1.0.2,claude-code,1.0.2,Bash,command,true,string,The command to execute
claude-code/1.0.2,claude-code,1.0.2,Bash,timeout,false,number,Optional timeout in milliseconds (max 600000)
claude-code/1.0.2,claude-code,1.0.2,Bash,description,false,string," Clear, concise description of what this command does in 5-10 words. Examples:
Input: ls
Output: Lists files in current directory

Input: git status
Output: Shows working tree status

Input: npm install
Output: Installs package dependencies

Input: mkdir foo
Output: Creates directory 'foo'"
claude-code/1.0.2,claude-code,1.0.2,Edit,file_path,true,string,The absolute path to the file to modify
claude-code/1.0.2,claude-code,1.0.2,Edit,old_string,true,string,The text to replace
claude-code/1.0.2,claude-code,1.0.2,Edit,new_string,true,string,The text to replace it with
claude-code/1.0.2,claude-code,1.0.2,Edit,expected_replacements,false,number,The expected number of replacements to perform. Defaults to 1 if not specified.
claude-code/1.0.2,claude-code,1.0.2,Glob,pattern,true,string,The glob pattern to match files against
claude-code/1.0.2,claude-code,1.0.2,Glob,path,false,string,"The directory to search in. If not specified, the current working directory will be used. IMPORTANT: Omit this field to use the default directory. DO NOT enter ""undefined"" or ""null"" - simply omit it for the default behavior. Must be a valid directory path if provided."
claude-code/1.0.2,claude-code,1.0.2,Grep,pattern,true,string,The regular expression pattern to search for in file contents
claude-code/1.0.2,claude-code,1.0.2,Grep,path,false,string,The directory to search in. Defaults to the current working directory.
claude-code/1.0.2,claude-code,1.0.2,Grep,include,false,string,"File pattern to include in the search (e.g. ""*.js"", ""*.{ts,tsx}"")"
claude-code/1.0.2,claude-code,1.0.2,LS,path,true,string,"The absolute path to the directory to list (must be absolute, not relative)"
claude-code/1.0.2,claude-code,1.0.2,LS,ignore,false,array,List of glob patterns to ignore
claude-code/1.0.2,claude-code,1.0.2,MultiEdit,file_path,true,string,The absolute path to the file to modify
claude-code/1.0.2,claude-code,1.0.2,MultiEdit,edits,true,array,Array of edit operations to perform sequentially on the file
claude-code/1.0.2,claude-code,1.0.2,NotebookEdit,notebook_path,true,string,"The absolute path to the Jupyter notebook file to edit (must be absolute, not relative)"
claude-code/1.0.2,claude-code,1.0.2,NotebookEdit,cell_number,true,number,The index of the cell to edit (0-based)
claude-code/1.0.2,claude-code,1.0.2,NotebookEdit,new_source,true,string,The new source for the cell
claude-code/1.0.2,claude-code,1.0.2,NotebookEdit,cell_type,false,string,"The type of the cell (code or markdown). If not specified, it defaults to the current cell type. If using edit_mode=insert, this is required."
claude-code/1.0.2,claude-code,1.0.2,NotebookEdit,edit_mode,false,string,"The type of edit to make (replace, insert, delete). Defaults to replace."
claude-code/1.0.2,claude-code,1.0.2,NotebookRead,notebook_path,true,string,"The absolute path to the Jupyter notebook file to read (must be absolute, not relative)"
claude-code/1.0.2,claude-code,1.0.2,Read,file_path,true,string,The absolute path to the file to read
claude-code/1.0.2,claude-code,1.0.2,Read,offset,false,number,The line number to start reading from. Only provide if the file is too large to read at once
claude-code/1.0.2,claude-code,1.0.2,Read,limit,false,number,The number of lines to read. Only provide if the file is too large to read at once.
claude-code/1.0.2,claude-code,1.0.2,Task,description,true,string,A short (3-5 word) description of the task
claude-code/1.0.2,claude-code,1.0.2,Task,prompt,true,string,The task for the agent to perform
claude-code/1.0.2,claude-code,1.0.2,TodoWrite,todos,true,array,The updated todo list
claude-code/1.0.2,claude-code,1.0.2,WebFetch,url,true,string,The URL to fetch content from
claude-code/1.0.2,claude-code,1.0.2,WebFetch,prompt,true,string,The prompt to run on the fetched content
claude-code/1.0.2,claude-code,1.0.2,WebSearch,query,true,string,The search query to use
claude-code/1.0.2,claude-code,1.0.2,WebSearch,allowed_domains,false,array,Only include search results from these domains
claude-code/1.0.2,claude-code,1.0.2,WebSearch,blocked_domains,false,array,Never include search results from these domains
claude-code/1.0.2,claude-code,1.0.2,Write,file_path,true,string,"The absolute path to the file to write (must be absolute, not relative)"
claude-code/1.0.2,claude-code,1.0.2,Write,content,true,string,The content to write to the file
claude-code/1.0.3,claude-code,1.0.3,Bash,command,true,string,The command to execute
claude-code/1.0.3,claude-code,1.0.3,Bash,timeout,false,number,Optional timeout in milliseconds (max 600000)
claude-code/1.0.3,claude-code,1.0.3,Bash,description,false,string," Clear, concise description of what this command does in 5-10 words. Examples:
Input: ls
Output: Lists files in current directory

Input: git status
Output: Shows working tree status

Input: npm install
Output: Installs package dependencies

Input: mkdir foo
Output: Creates directory 'foo'"
claude-code/1.0.3,claude-code,1.0.3,Edit,file_path,true,string,The absolute path to the file to modify
claude-code/1.0.3,claude-code,1.0.3,Edit,old_string,true,string,The text to replace
claude-code/1.0.3,claude-code,1.0.3,Edit,new_string,true,string,The text to replace it with (must be different from old_string)
claude-code/1.0.3,claude-code,1.0.3,Edit,expected_replacements,false,number,The expected number of replacements to perform. Defaults to 1 if not specified.
claude-code/1.0.3,claude-code,1.0.3,Glob,pattern,true,string,The glob pattern to match files against
claude-code/1.0.3,claude-code,1.0.3,Glob,path,false,string,"The directory to search in. If not specified, the current working directory will be used. IMPORTANT: Omit this field to use the default directory. DO NOT enter ""undefined"" or ""null"" - simply omit it for the default behavior. Must be a valid directory path if provided."
claude-code/1.0.3,claude-code,1.0.3,Grep,pattern,true,string,The regular expression pattern to search for in file contents
claude-code/1.0.3,claude-code,1.0.3,Grep,path,false,string,The directory to search in. Defaults to the current working directory.
claude-code/1.0.3,claude-code,1.0.3,Grep,include,false,string,"File pattern to include in the search (e.g. ""*.js"", ""*.{ts,tsx}"")"
claude-code/1.0.3,claude-code,1.0.3,LS,path,true,string,"The absolute path to the directory to list (must be absolute, not relative)"
claude-code/1.0.3,claude-code,1.0.3,LS,ignore,false,array,List of glob patterns to ignore
claude-code/1.0.3,claude-code,1.0.3,MultiEdit,file_path,true,string,The absolute path to the file to modify
claude-code/1.0.3,claude-code,1.0.3,MultiEdit,edits,true,array,Array of edit operations to perform sequentially on the file
claude-code/1.0.3,claude-code,1.0.3,NotebookEdit,notebook_path,true,string,"The absolute path to the Jupyter notebook file to edit (must be absolute, not relative)"
claude-code/1.0.3,claude-code,1.0.3,NotebookEdit,cell_number,true,number,The index of the cell to edit (0-based)
claude-code/1.0.3,claude-code,1.0.3,NotebookEdit,new_source,true,string,The new source for the cell
claude-code/1.0.3,claude-code,1.0.3,NotebookEdit,cell_type,false,string,"The type of the cell (code or markdown). If not specified, it defaults to the current cell type. If using edit_mode=insert, this is required."
claude-code/1.0.3,claude-code,1.0.3,NotebookEdit,edit_mode,false,string,"The type of edit to make (replace, insert, delete). Defaults to replace."
claude-code/1.0.3,claude-code,1.0.3,NotebookRead,notebook_path,true,string,"The absolute path to the Jupyter notebook file to read (must be absolute, not relative)"
claude-code/1.0.3,claude-code,1.0.3,Read,file_path,true,string,The absolute path to the file to read
claude-code/1.0.3,claude-code,1.0.3,Read,offset,false,number,The line number to start reading from. Only provide if the file is too large to read at once
claude-code/1.0.3,claude-code,1.0.3,Read,limit,false,number,The number of lines to read. Only provide if the file is too large to read at once.
claude-code/1.0.3,claude-code,1.0.3,Task,description,true,string,A short (3-5 word) description of the task
claude-code/1.0.3,claude-code,1.0.3,Task,prompt,true,string,The task for the agent to perform
claude-code/1.0.3,claude-code,1.0.3,TodoWrite,todos,true,array,The updated todo list
claude-code/1.0.3,claude-code,1.0.3,WebFetch,url,true,string,The URL to fetch content from
claude-code/1.0.3,claude-code,1.0.3,WebFetch,prompt,true,string,The prompt to run on the fetched content
claude-code/1.0.3,claude-code,1.0.3,WebSearch,query,true,string,The search query to use
claude-code/1.0.3,claude-code,1.0.3,WebSearch,allowed_domains,false,array,Only include search results from these domains
claude-code/1.0.3,claude-code,1.0.3,WebSearch,blocked_domains,false,array,Never include search results from these domains
claude-code/1.0.3,claude-code,1.0.3,Write,file_path,true,string,"The absolute path to the file to write (must be absolute, not relative)"
claude-code/1.0.3,claude-code,1.0.3,Write,content,true,string,The content to write to the file
claude-code/1.0.4,claude-code,1.0.4,Bash,command,true,string,The command to execute
claude-code/1.0.4,claude-code,1.0.4,Bash,timeout,false,number,Optional timeout in milliseconds (max 600000)
claude-code/1.0.4,claude-code,1.0.4,Bash,description,false,string," Clear, concise description of what this command does in 5-10 words. Examples:
Input: ls
Output: Lists files in current directory

Input: git status
Output: Shows working tree status

Input: npm install
Output: Installs package dependencies

Input: mkdir foo
Output: Creates directory 'foo'"
claude-code/1.0.4,claude-code,1.0.4,Edit,file_path,true,string,The absolute path to the file to modify
claude-code/1.0.4,claude-code,1.0.4,Edit,old_string,true,string,The text to replace
claude-code/1.0.4,claude-code,1.0.4,Edit,new_string,true,string,The text to replace it with (must be different from old_string)
claude-code/1.0.4,claude-code,1.0.4,Edit,expected_replacements,false,number,The expected number of replacements to perform. Defaults to 1 if not specified.
claude-code/1.0.4,claude-code,1.0.4,Glob,pattern,true,string,The glob pattern to match files against
claude-code/1.0.4,claude-code,1.0.4,Glob,path,false,string,"The directory to search in. If not specified, the current working directory will be used. IMPORTANT: Omit this field to use the default directory. DO NOT enter ""undefined"" or ""null"" - simply omit it for the default behavior. Must be a valid directory path if provided."
claude-code/1.0.4,claude-code,1.0.4,Grep,pattern,true,string,The regular expression pattern to search for in file contents
claude-code/1.0.4,claude-code,1.0.4,Grep,path,false,string,The directory to search in. Defaults to the current working directory.
claude-code/1.0.4,claude-code,1.0.4,Grep,include,false,string,"File pattern to include in the search (e.g. ""*.js"", ""*.{ts,tsx}"")"
claude-code/1.0.4,claude-code,1.0.4,LS,path,true,string,"The absolute path to the directory to list (must be absolute, not relative)"
claude-code/1.0.4,claude-code,1.0.4,LS,ignore,false,array,List of glob patterns to ignore
claude-code/1.0.4,claude-code,1.0.4,MultiEdit,file_path,true,string,The absolute path to the file to modify
claude-code/1.0.4,claude-code,1.0.4,MultiEdit,edits,true,array,Array of edit operations to perform sequentially on the file
claude-code/1.0.4,claude-code,1.0.4,NotebookEdit,notebook_path,true,string,"The absolute path to the Jupyter notebook file to edit (must be absolute, not relative)"
claude-code/1.0.4,claude-code,1.0.4,NotebookEdit,cell_number,true,number,The index of the cell to edit (0-based)
claude-code/1.0.4,claude-code,1.0.4,NotebookEdit,new_source,true,string,The new source for the cell
claude-code/1.0.4,claude-code,1.0.4,NotebookEdit,cell_type,false,string,"The type of the cell (code or markdown). If not specified, it defaults to the current cell type. If using edit_mode=insert, this is required."
claude-code/1.0.4,claude-code,1.0.4,NotebookEdit,edit_mode,false,string,"The type of edit to make (replace, insert, delete). Defaults to replace."
claude-code/1.0.4,claude-code,1.0.4,NotebookRead,notebook_path,true,string,"The absolute path to the Jupyter notebook file to read (must be absolute, not relative)"
claude-code/1.0.4,claude-code,1.0.4,Read,file_path,true,string,The absolute path to the file to read
claude-code/1.0.4,claude-code,1.0.4,Read,offset,false,number,The line number to start reading from. Only provide if the file is too large to read at once
claude-code/1.0.4,claude-code,1.0.4,Read,limit,false,number,The number of lines to read. Only provide if the file is too large to read at once.
claude-code/1.0.4,claude-code,1.0.4,Task,description,true,string,A short (3-5 word) description of the task
claude-code/1.0.4,claude-code,1.0.4,Task,prompt,true,string,The task for the agent to perform
claude-code/1.0.4,claude-code,1.0.4,TodoWrite,todos,true,array,The updated todo list
claude-code/1.0.4,claude-code,1.0.4,WebFetch,url,true,string,The URL to fetch content from
claude-code/1.0.4,claude-code,1.0.4,WebFetch,prompt,true,string,The prompt to run on the fetched content
claude-code/1.0.4,claude-code,1.0.4,WebSearch,query,true,string,The search query to use
claude-code/1.0.4,claude-code,1.0.4,WebSearch,allowed_domains,false,array,Only include search results from these domains
claude-code/1.0.4,claude-code,1.0.4,WebSearch,blocked_domains,false,array,Never include search results from these domains
claude-code/1.0.4,claude-code,1.0.4,Write,file_path,true,string,"The absolute path to the file to write (must be absolute, not relative)"
claude-code/1.0.4,claude-code,1.0.4,Write,content,true,string,The content to write to the file
claude-code/1.0.5,claude-code,1.0.5,Bash,command,true,string,The command to execute
claude-code/1.0.5,claude-code,1.0.5,Bash,timeout,false,number,Optional timeout in milliseconds (max 600000)
claude-code/1.0.5,claude-code,1.0.5,Bash,description,false,string," Clear, concise description of what this command does in 5-10 words. Examples:
Input: ls
Output: Lists files in current directory

Input: git status
Output: Shows working tree status

Input: npm install
Output: Installs package dependencies

Input: mkdir foo
Output: Creates directory 'foo'"
claude-code/1.0.5,claude-code,1.0.5,Edit,file_path,true,string,The absolute path to the file to modify
claude-code/1.0.5,claude-code,1.0.5,Edit,old_string,true,string,The text to replace
claude-code/1.0.5,claude-code,1.0.5,Edit,new_string,true,string,The text to replace it with (must be different from old_string)
claude-code/1.0.5,claude-code,1.0.5,Edit,expected_replacements,false,number,The expected number of replacements to perform. Defaults to 1 if not specified.
claude-code/1.0.5,claude-code,1.0.5,Glob,pattern,true,string,The glob pattern to match files against
claude-code/1.0.5,claude-code,1.0.5,Glob,path,false,string,"The directory to search in. If not specified, the current working directory will be used. IMPORTANT: Omit this field to use the default directory. DO NOT enter ""undefined"" or ""null"" - simply omit it for the default behavior. Must be a valid directory path if provided."
claude-code/1.0.5,claude-code,1.0.5,Grep,pattern,true,string,The regular expression pattern to search for in file contents
claude-code/1.0.5,claude-code,1.0.5,Grep,path,false,string,The directory to search in. Defaults to the current working directory.
claude-code/1.0.5,claude-code,1.0.5,Grep,include,false,string,"File pattern to include in the search (e.g. ""*.js"", ""*.{ts,tsx}"")"
claude-code/1.0.5,claude-code,1.0.5,LS,path,true,string,"The absolute path to the directory to list (must be absolute, not relative)"
claude-code/1.0.5,claude-code,1.0.5,LS,ignore,false,array,List of glob patterns to ignore
claude-code/1.0.5,claude-code,1.0.5,MultiEdit,file_path,true,string,The absolute path to the file to modify
claude-code/1.0.5,claude-code,1.0.5,MultiEdit,edits,true,array,Array of edit operations to perform sequentially on the file
claude-code/1.0.5,claude-code,1.0.5,NotebookEdit,notebook_path,true,string,"The absolute path to the Jupyter notebook file to edit (must be absolute, not relative)"
claude-code/1.0.5,claude-code,1.0.5,NotebookEdit,cell_number,true,number,The index of the cell to edit (0-based)
claude-code/1.0.5,claude-code,1.0.5,NotebookEdit,new_source,true,string,The new source for the cell
claude-code/1.0.5,claude-code,1.0.5,NotebookEdit,cell_type,false,string,"The type of the cell (code or markdown). If not specified, it defaults to the current cell type. If using edit_mode=insert, this is required."
claude-code/1.0.5,claude-code,1.0.5,NotebookEdit,edit_mode,false,string,"The type of edit to make (replace, insert, delete). Defaults to replace."
claude-code/1.0.5,claude-code,1.0.5,NotebookRead,notebook_path,true,string,"The absolute path to the Jupyter notebook file to read (must be absolute, not relative)"
claude-code/1.0.5,claude-code,1.0.5,Read,file_path,true,string,The absolute path to the file to read
claude-code/1.0.5,claude-code,1.0.5,Read,offset,false,number,The line number to start reading from. Only provide if the file is too large to read at once
claude-code/1.0.5,claude-code,1.0.5,Read,limit,false,number,The number of lines to read. Only provide if the file is too large to read at once.
claude-code/1.0.5,claude-code,1.0.5,Task,description,true,string,A short (3-5 word) description of the task
claude-code/1.0.5,claude-code,1.0.5,Task,prompt,true,string,The task for the agent to perform
claude-code/1.0.5,claude-code,1.0.5,TodoWrite,todos,true,array,The updated todo list
claude-code/1.0.5,claude-code,1.0.5,WebFetch,url,true,string,The URL to fetch content from
claude-code/1.0.5,claude-code,1.0.5,WebFetch,prompt,true,string,The prompt to run on the fetched content
claude-code/1.0.5,claude-code,1.0.5,WebSearch,query,true,string,The search query to use
claude-code/1.0.5,claude-code,1.0.5,WebSearch,allowed_domains,false,array,Only include search results from these domains
claude-code/1.0.5,claude-code,1.0.5,WebSearch,blocked_domains,false,array,Never include search results from these domains
claude-code/1.0.5,claude-code,1.0.5,Write,file_path,true,string,"The absolute path to the file to write (must be absolute, not relative)"
claude-code/1.0.5,claude-code,1.0.5,Write,content,true,string,The content to write to the file
claude-code/1.0.6,claude-code,1.0.6,Bash,command,true,string,The command to execute
claude-code/1.0.6,claude-code,1.0.6,Bash,timeout,false,number,Optional timeout in milliseconds (max 600000)
claude-code/1.0.6,claude-code,1.0.6,Bash,description,false,string," Clear, concise description of what this command does in 5-10 words. Examples:
Input: ls
Output: Lists files in current directory

Input: git status
Output: Shows working tree status

Input: npm install
Output: Installs package dependencies

Input: mkdir foo
Output: Creates directory 'foo'"
claude-code/1.0.6,claude-code,1.0.6,Edit,file_path,true,string,The absolute path to the file to modify
claude-code/1.0.6,claude-code,1.0.6,Edit,old_string,true,string,The text to replace
claude-code/1.0.6,claude-code,1.0.6,Edit,new_string,true,string,The text to replace it with (must be different from old_string)
claude-code/1.0.6,claude-code,1.0.6,Edit,expected_replacements,false,number,The expected number of replacements to perform. Defaults to 1 if not specified.
claude-code/1.0.6,claude-code,1.0.6,Glob,pattern,true,string,The glob pattern to match files against
claude-code/1.0.6,claude-code,1.0.6,Glob,path,false,string,"The directory to search in. If not specified, the current working directory will be used. IMPORTANT: Omit this field to use the default directory. DO NOT enter ""undefined"" or ""null"" - simply omit it for the default behavior. Must be a valid directory path if provided."
claude-code/1.0.6,claude-code,1.0.6,Grep,pattern,true,string,The regular expression pattern to search for in file contents
claude-code/1.0.6,claude-code,1.0.6,Grep,path,false,string,The directory to search in. Defaults to the current working directory.
claude-code/1.0.6,claude-code,1.0.6,Grep,include,false,string,"File pattern to include in the search (e.g. ""*.js"", ""*.{ts,tsx}"")"
claude-code/1.0.6,claude-code,1.0.6,LS,path,true,string,"The absolute path to the directory to list (must be absolute, not relative)"
claude-code/1.0.6,claude-code,1.0.6,LS,ignore,false,array,List of glob patterns to ignore
claude-code/1.0.6,claude-code,1.0.6,MultiEdit,file_path,true,string,The absolute path to the file to modify
claude-code/1.0.6,claude-code,1.0.6,MultiEdit,edits,true,array,Array of edit operations to perform sequentially on the file
claude-code/1.0.6,claude-code,1.0.6,NotebookEdit,notebook_path,true,string,"The absolute path to the Jupyter notebook file to edit (must be absolute, not relative)"
claude-code/1.0.6,claude-code,1.0.6,NotebookEdit,cell_number,true,number,The index of the cell to edit (0-based)
claude-code/1.0.6,claude-code,1.0.6,NotebookEdit,new_source,true,string,The new source for the cell
claude-code/1.0.6,claude-code,1.0.6,NotebookEdit,cell_type,false,string,"The type of the cell (code or markdown). If not specified, it defaults to the current cell type. If using edit_mode=insert, this is required."
claude-code/1.0.6,claude-code,1.0.6,NotebookEdit,edit_mode,false,string,"The type of edit to make (replace, insert, delete). Defaults to replace."
claude-code/1.0.6,claude-code,1.0.6,NotebookRead,notebook_path,true,string,"The absolute path to the Jupyter notebook file to read (must be absolute, not relative)"
claude-code/1.0.6,claude-code,1.0.6,Read,file_path,true,string,The absolute path to the file to read
claude-code/1.0.6,claude-code,1.0.6,Read,offset,false,number,The line number to start reading from. Only provide if the file is too large to read at once
claude-code/1.0.6,claude-code,1.0.6,Read,limit,false,number,The number of lines to read. Only provide if the file is too large to read at once.
claude-code/1.0.6,claude-code,1.0.6,Task,description,true,string,A short (3-5 word) description of the task
claude-code/1.0.6,claude-code,1.0.6,Task,prompt,true,string,The task for the agent to perform
claude-code/1.0.6,claude-code,1.0.6,TodoWrite,todos,true,array,The updated todo list
claude-code/1.0.6,claude-code,1.0.6,WebFetch,url,true,string,The URL to fetch content from
claude-code/1.0.6,claude-code,1.0.6,WebFetch,prompt,true,string,The prompt to run on the fetched content
claude-code/1.0.6,claude-code,1.0.6,WebSearch,query,true,string,The search query to use
claude-code/1.0.6,claude-code,1.0.6,WebSearch,allowed_domains,false,array,Only include search results from these domains
claude-code/1.0.6,claude-code,1.0.6,WebSearch,blocked_domains,false,array,Never include search results from these domains
claude-code/1.0.6,claude-code,1.0.6,Write,file_path,true,string,"The absolute path to the file to write (must be absolute, not relative)"
claude-code/1.0.6,claude-code,1.0.6,Write,content,true,string,The content to write to the file
claude-code/1.0.7,claude-code,1.0.7,Bash,command,true,string,The command to execute
claude-code/1.0.7,claude-code,1.0.7,Bash,timeout,false,number,Optional timeout in milliseconds (max 600000)
